place,lat,long,value
ESC. ESTEBAN GEBARD,-15.903269,-63.186997,41.32
ESC. EVANGELICA RINCON DEL TIGRE,-18.210793,-58.168054,44.39
ESC. FE ALEGRIA,-17.65843,-62.72065,39.35
ESC. FE Y ALEGRIA,-17.981,-63.45194,67.61
ESC. FE Y ALEGRIA,-17.096387,-62.684614,48.25
ESC. FE Y ALEGRIA,-16.825412,-63.48004,53.2
ESC. FE Y ALEGRIA TITO BOLTAN,-16.84723,-63.428714,50.3
ESC. FISCAL DE NINOS SANTA FE,-17.39861,-63.82872,56.89
ESC. FISCAL POTRERO LARGO,-17.56155,-63.11728,55.31
ESC. FRAY SANTIAGO DE RIVERO,-17.85656,-63.30791,38.53
ESC. GABRIEL JOSE MORENO,-17.88486,-62.94179,24.44
ESC. GABRIEL RENE MORENO,-20.03892,-63.52212,39.77
ESC. GABRIEL RENE MORENO,-17.913511,-64.526665,60.56
ESC. GERMAN BUSCH,-17.84692,-60.74323,34.84
ESC. GERMAN BUSCH,-17.73681,-63.1716,17.39
ESC. GERMAN BUSCH,-17.404915,-63.885625,60.88
ESC. GERMAN BUSCH YACUSES,-18.97605,-58.23871,53.74
ESC. GISELA BRUN SCIARONI,-19.004686,-57.716504,33.77
ESC. GODOFREDO TRENKER,-16.78576,-60.67352,30.5
ESC. GRAL SAN MARTIN,-16.701741,-62.856907,80.97
ESC. GRAL. AGUSTIN SAAVEDRA,-18.1794,-63.87621,38.14
ESC. GREMIAL CORTEZ,-17.82349,-63.01388,54.78
ESC. GUADALUPE FE Y ALEGRIA,-16.13626,-62.02316,46.85
ESC. GUIDO OSWALDO SUANZO,-18.33875,-59.75161,30.81
ESC. HABRA DE CAPILLA,-17.87328,-64.73131,84.26
ESC. HOLANDA,-16.88703,-61.79376,100
ESC. HUMBERTO VILLARROEL,-18.09421,-64.58239,64.05
ESC. IBAMIRAPINTA,-19.804992,-63.482877,64.22
ESC. IGNACIO TERAN,-18.48932,-64.10592,35.13
ESC. INDIGENA ARENALES,-15.10867,-66.9127,97.01
ESC. JOSE CASTRILLO,-20.03724,-63.52077,47.32
ESC. JOSE J.DORADO,-16.69866,-60.96856,48.87
ESC. JOSE LUIS CASTRO,-17.34488,-62.55427,66.32
ESC. JOSE MARIANO SERRANO,-17.72271,-63.16407,12.74
ESC. JOSE MIGUEL DE VELASCO,-17.9662,-63.21535,36.76
ESC. JOSE PARADA LAGUINDEY,-17.72245,-63.38077,31.22
ESC. JOSE VICENTE SOLIZ Y RAMOS,-17.89064,-63.32945,42.71
ESC. JOSEFINA GOYTIA,-18.96123,-57.80096,27.38
ESC. JUAN PABLO SEGUNDO,-17.26752,-62.55701,61.94
ESC. JUANA AZURDUY DE PADILLA,-17.87674,-63.26641,41.27
ESC. JUANA AZURDUY DE PADILLA,-17.51302,-63.0628,61.35
ESC. JUANA AZURDUY DE PADILLA,-10.99538,-66.07388,20.85
ESC. JUANA CARMEN ROMAN,-18.4858,-64.10367,37.03
ESC. JULIO LANDIVAR,-17.35695,-63.39304,19.27
ESC. KURUGUAKUA,-19.388914,-63.395339,79.05
ESC. LA AGUADA,-18.336421,-64.142375,35.56
ESC. LA APLICACION,-17.354774,-63.394758,21
ESC. LA ASUNTA SAN BERNARDO,-16.76817,-62.57837,61.3
ESC. LA CONQUISTA,-16.733663,-63.95355,84.41
ESC. LA CRUZ,-14.97601,-66.73125,93.23
ESC. LA ELVIRA,-18.05682,-63.44523,40.91
ESC. LA HIGUERA,-18.794723,-64.201112,35.86
ESC. LA PATRIA,-17.124592,-63.339413,51.47
ESC. LA PEÑA,-17.96183,-62.96586,86.45
ESC. LA PEÑA- BRECHA-3,-17.98781,-63.05506,51.59
ESC. LAGUNILLAS,-19.65222,-63.67723,54.13
ESC. LAS PALMAS,-17.07745,-63.27835,62.9
ESC. LAS PETAS,-16.379134,-59.182016,33.76
ESC. LEONOR RIVERA,-17.838811,-60.743196,38.62
ESC. LIC. SENORITAS MONSENOR DANIEL RIVE,-16.381938,-60.95947,22.09
ESC. LOLA TERRAZAS DE GASSER,-17.571737,-63.241151,41.1
ESC. LOMA SUAREZ,-14.76063,-64.96272,56.46
ESC. LOS CHACOS,-15.93742,-63.534789,8
ESC. LOS SITANOS,-18.86124,-63.959121,19.44
ESC. LOS SOTOS,-18.24889,-59.8557,57.3
ESC. LOS TRONCOS,-17.06814,-62.63882,45.45
ESC. MANGALITO,-14.84847,-64.91572,44.28
ESC. MANZANAL,-17.84591,-64.77901,91.58
ESC. MARCELINO CHAIPANA,-18.10087,-64.43036,54.73
ESC. MARCELINO REVOLLO,-19.72541,-63.39302,56.87
ESC. MARIANO SAUCEDO SEVILLA,-17.45934,-63.66378,38.19
ESC. MARISCAL ANTONIO JOSE DE SUCRE,-17.74769,-63.05227,36.36
ESC. MARISCAL SUCRE,-19.35422,-63.50597,35.13
ESC. MARISCAL SUCRE,-17.38778,-63.96143,76.38
ESC. MARISCAL SUCRE,-16.37599,-60.97673,22.13
ESC. MARISTA,-18.34039,-59.75665,33.7
ESC. MARTINA DORADO,-17.35174,-63.39271,25.61
ESC. MAX FERNANDEZ ROJAS,-16.97607,-62.54577,77.7
ESC. MEJILLONES,-10.82544,-65.35355,32.24
ESC. MIGUEL LANDIVAR,-19.281863,-63.443192,65.2
ESC. MIGUEL SUAREZ ARANA,-18.96855,-57.79474,33.23
ESC. MIRAFLORES II,-17.12125,-60.58031,74.89
ESC. MISION FATIMA,-15.45636,-66.746,93.27
ESC. MIXTA LA FRONTERA,-19.02897,-57.70963,48.2
ESC. MONSEÑOR BONIFACIO,-17.07628,-61.49168,43.92
ESC. MONTE CRISTO,-15.611731,-64.374031,53.33
ESC. MONTE CRISTO DEL TIQUIN,-13.62647,-61.97526,81.74
ESC. MONTE RICO,-17.37492,-62.48614,88.18
ESC. MORE-MONTE AZUL,-12.09472,-64.91856,100
ESC. MOROMORO,-18.366637,-64.322595,35.04
ESC. MUNICIPAL ROSAL CENTRO,-17.934066,-62.680056,43.8
ESC. NACIONAL BOLIVIA,-17.40517,-63.88673,70.18
ESC. NACIONES UNIDAS,-17.9931,-63.38043,60.03
ESC. NAPOLEON GOMEZ,-18.17913,-63.87625,35
ESC. NAPOLEON MONTERO MONTERO,-18.33945,-59.59888,23.34
ESC. NATANIEL VERDUGEZ,-17.85087,-63.25018,47.11
ESC. NESTOR PAZ ZAMORA,-18.334068,-63.947953,40.54
ESC. NIÑO JESUS,-20.04194,-63.51853,28.49
ESC. NOEL KENP MERCADO,-17.08242,-64.29475,85.52
ESC. NORMAL ENRIQUET  FINOT,-17.76357,-63.19629,7.77
ESC. NUCLEO  MARISCAL SUCRE,-17.10982,-63.12855,64.89
ESC. NUCLEO 66 2 DE AGOSTO,-16.639802,-62.788389,68
ESC. NUCLEO ARIRUMA,-18.301195,-64.263305,55.48
ESC. NUCLEO CENTRAL,-18.52514,-64.29378,71.19
ESC. NUCLEO CENTRAL,-17.58445,-63.51644,30.76
ESC. NUCLEO CENTRAL,-17.163775,-63.761351,79.21
ESC. NUCLEO CENTRAL MINERO,-17.113123,-63.233989,42.38
ESC. NUCLEO CENTRAL MURILLO,-16.755574,-63.550268,63.53
ESC. NUCLEO CENTRAL NUEVA ESPERANZA,-17.16079,-63.21746,54.17
ESC. NUCLEO CENTRAL SANTA FE,-17.69273,-63.521552,80.19
ESC. NUCLEO EL BELLO,-18.4416,-64.1921,11.63
ESC. NUCLEO ESCOLAR LA BRECHA,-19.505582,-62.560903,64.46
ESC. NUCLEO ESCOLAR YAGUARU,-15.600331,-63.22532,34.23
ESC. NUCLEO MARISCAL SUCRE,-16.967262,-63.219397,66.72
ESC. NUCLEO POSTERVALLE,-18.492921,-63.836033,29.06
ESC. NUCLEO SAN JUAN,-18.337358,-64.203352,32.67
ESC. NUCLEO SAN JUAN DEL ROSARIO,-18.305141,-63.809243,41.62
ESC. NUCLEO SANTA ROSA,-17.86679,-64.245937,59.04
ESC. NUCLEO TUCUMANCILLO,-18.376884,-64.148977,30.19
ESC. NUESTRA SEÑORA DE FATIMA,-14.83099,-64.89811,31.16
ESC. NUEVA AURORA,-17.49827,-62.80148,18.75
ESC. NUEVA ESPERANZA,-18.443284,-62.816879,77.11
ESC. NUEVA ESPERANZA,-12.97329,-66.00737,47.06
ESC. NUEVO HORIZONTE,-17.43794,-60.73072,33.33
ESC. NUEVO SIMON BOLLIVAR,-17.4061,-63.88425,62.2
ESC. OBISPO MANUEL JOSE PEÑA,-18.488439,-64.107881,35.85
ESC. OBISPO SANTISTEBAN,-16.84942,-63.382851,71.12
ESC. OCONI,-17.982822,-64.683177,93.88
ESC. OKITA,-20.005202,-63.274383,85.71
ESC. OROMOMO,-16.043994,-66.187433,84.9
ESC. OVIDIO SUAREZ,-17.45913,-63.66139,45.55
ESC. PADRE MATIAS LENS,-16.76787,-61.81025,54.99
ESC. PADRE REMO PRANDINI VIOTTI,-16.67545,-63.6132,62.3
ESC. PAILITA,-15.529736,-60.976441,58.49
ESC. PALESTINA,-15.5535,-62.25437,95.08
ESC. PALMARITO,-19.490204,-63.460997,91.73
ESC. PALMASOLA (EL CARMEN),-17.891877,-64.208796,67.81
ESC. PALMERAS,-18.20027,-58.206206,49.38
ESC. PALOMETAS,-17.03255,-63.52637,44.58
ESC. PAMPA DEL COSCAL,-18.299728000000002,-63.423712,68.22
ESC. PASTO MERCADO QUIROGA,-17.12932,-63.43382,51.67
ESC. PATUJU,-16.9081,-62.61599,72.06
ESC. PEDRO ARISTIDES,-18.08937,-64.11092,34.28
ESC. PEDRO IGNACIO MUIBA,-14.84481,-64.91414,36.49
ESC. PEROTO,-17.476332,-63.418005,25.49
ESC. PIRAIMIRI,-18.637267,-63.966419,35.21
ESC. PLAYA ANCHA,-14.62954,-67.26197,92
ESC. POPULAR DON BOSCO,-17.292543,-63.851316,40.71
ESC. POZA VERDE,-17.71927,-62.70517,81.11
ESC. PROF. DELFIN ARTEAGA IPATI,-19.764914,-63.561366,49.68
ESC. PTO. CAMACHO,-18.90593,-63.39868,41.47
ESC. PUEBLO NUEVO PARAPETI,-20.026261,-63.15191,58.55
ESC. PUEBLOS UNIDOS,-16.07503,-64.081781,85.92
ESC. PUERTO SAN BORJA,-14.98267,-65.79875,85.19
ESC. PUERTO TERESA,-13.44813,-66.60133,25.76
ESC. PUERTO USTAREZ,-12.40728,-64.45786,66.67
ESC. PUERTO VARADOR,-14.87702,-64.99762,42.24
ESC. PUESTO PAZ,-17.48613,-62.44294,65.52
ESC. QUEBRADA LEON,-17.96212,-63.47776,70.68
ESC. RAUL MONJE ROCA,-14.83707,-64.8938,34.51
ESC. REAL AMERICA(ESC.F.FLORIDA),-17.728324,-63.162059,23.83
ESC. RECREO,-16.425825,-61.05543,64.15
ESC. RENE BARRIENTOS,-17.77159,-63.198154,22.7
ESC. RENE BARRIENTOS ORTUÑO,-18.11939,-63.95997,53.88
ESC. RENE BARRIENTOS ORTUÑO,-14.29512,-67.33835,42
ESC. RINCON DE PALOMETA,-17.013996,-63.552088,33.59
ESC. RIO SECO FLORIDA,-18.67221,-63.24144,45.81
ESC. RUBEN DARIO SOLIZ,-17.93966,-63.35154,50.54
ESC. RURAL JASIAQUIRI,-13.72094,-63.7384,53.02
ESC. SAGRADA FAMILIA,-18.33087,-59.75781,30.17
ESC. SAMUEL LOPEZ MENDOZA,-19.002369,-57.717404,40.9
ESC. SAN ANTONIO,-16.834164,-62.723049,80.49
ESC. SAN ANTONIO DEL POTRERO,-18.342,-59.74802,69.77
ESC. SAN BORJA RIO BLANCO,-12.62778,-64.10181,45.39
ESC. SAN FERNANDO,-17.259623,-58.637667,21.95
ESC. SAN FRANCISCO DEL YATA,-10.61194,-65.51111,35.56
ESC. SAN IGNACIO,-17.278801,-63.570693,36.26
ESC. SAN IGNACIO DE LOYOLA,-18.118194,-64.216267,31.15
ESC. SAN ISIDRO,-18.04461,-64.43211,49.88
ESC. SAN JOSE,-14.30772,-67.37435,50.6
ESC. SAN JOSE,-10.81522,-65.34554,33.92
ESC. SAN JOSE DE LA CAPILLA,-18.0994,-64.4388,52.1
ESC. SAN JOSE DE YOTAU,-16.174824,-63.021948,67.54
ESC. SAN JOSEMA,-16.263884,-61.037795,69.32
ESC. SAN JUAN,-17.77805,-59.93511,43.1
ESC. SAN JUAN DEL MACOÑO,-16.045921,-60.182398,30.19
ESC. SAN JUAN DEL POTRERO,-17.96157,-64.29284,46.41
ESC. SAN LUIS,-16.94883,-63.78288,86.07
ESC. SAN MARCOS,-13.81978,-67.50578,14.29
ESC. SAN MARTIN,-15.39137,-61.48943,85.35
ESC. SAN PABLO,-15.901607,-63.303127,60.9
ESC. SAN RAFAEL,-18.1077,-64.56412,73
ESC. SAN SALVADOR NUCLEO 38,-16.53014,-63.01813,88.89
ESC. SAN SILVESTRE,-16.87776,-63.336297,69.64
ESC. SANTA ANA,-18.70716,-58.78492,50.85
ESC. SANTA ELENA,-11.043493,-67.828016,45.45
ESC. SANTA ISABEL,-16.41756,-58.64299,74.74
ESC. SANTA MARIA,-15.728429,-63.45625,68.31
ESC. SANTA ROSA,-18.31618,-63.003792,47.52
ESC. SANTA ROSA,-17.11006,-63.59691,34.29
ESC. SANTA ROSA DE LA MINA,-16.54375,-62.46406,39.04
ESC. SANTA ROSITA,-18.52326,-64.08921,32.54
ESC. SANTA TERESITA,-17.94919,-60.49098,100
ESC. SANTA TERESITA (CURURU),-15.500628,-63.201285,18.18
ESC. SANTIAGO DEL VALLE,-18.221287,-63.916443,28.43
ESC. SANTO CORAZON,-17.97362,-58.80663,32.71
ESC. SEBASTIAN PAGADOR,-16.911285,-62.625744,94.23
ESC. SECC SAN FRANCISCO DE ASIS,-18.13124,-62.9499,65.11
ESC. SECC. CENTRAL MASAVI,-19.370372,-63.279874,74.15
ESC. SECC. CHOROQUETAL LA ELE,-20.443993,-62.831223,38.46
ESC. SECC. CURUNDAITY,-19.96275,-63.52541,84
ESC. SECC. DE KAIPEPE,-19.719167,-63.141683,71.43
ESC. SECC. EL ARENAL,-20.403469,-63.514217,87.5
ESC. SECC. EL CURICHI,-18.753135,-63.21993,31.31
ESC. SECC. EL ESPINO,-19.22458,-63.260082,85.71
ESC. SECC. GUASANTI,-19.78613,-63.42537,75.43
ESC. SECC. GUIRARAPO,-20.09914,-63.48684,63.72
ESC. SECC. HUARIRENDA NUEVA,-19.175786,-62.528062,64.98
ESC. SECC. IMBOCHI,-20.06726,-63.51324,64.71
ESC. SECC. ITAKUATIA,-20.114094,-63.663027,28.81
ESC. SECC. POZO DE MONTE,-20.287397,-63.262088,64.79
ESC. SECC. PUENTE VIEJO,-20.01106,-63.54469,71.35
ESC. SECC. RANCHO NUEVO,-19.440204,-62.567922,55.31
ESC. SECC. TACOBO,-18.989088,-63.328658,75
ESC. SECC. TAPUTA,-19.590196,-63.221047,94.35
ESC. SECC.MON.SALVATIERRA,-15.50296,-63.01738,58.44
ESC. SECCIONAL,-17.03029,-63.31478,89.47
ESC. SECCIONAL AGUADA GRANDE,-19.49386,-63.674118,57.54
ESC. SECCIONAL AGUAS CALIENTES,-18.45304,-59.50294,67.17
ESC. SECCIONAL ALTO PARAPETI,-19.947464,-63.640233,81.67
ESC. SECCIONAL CAIPIPENDI,-19.78204,-63.3559,77.55
ESC. SECCIONAL CALENDARIA,-16.2456,-62.12077,63.64
ESC. SECCIONAL CAÑADA LARGA,-17.641934,-62.491463,39.05
ESC. SECCIONAL CANDELARIA,-16.764517,-58.934118,47.83
ESC. SECCIONAL CAPIRENDA,-19.6701,-63.37655,78.57
ESC. SECCIONAL CORONACION,-16.50191,-62.63953,67.73
ESC. SECCIONAL EL CARMEN,-16.36871,-63.209898,60.74
ESC. SECCIONAL EL FILO,-18.416954,-63.595217,4.76
ESC. SECCIONAL EL RODEO,-19.963118,-63.412659,83.06
ESC. SECCIONAL FAJA BOLIVAR,-16.973433,-63.228981,100
ESC. SECCIONAL ISIPORENDA,-19.833383,-62.730233,74.55
ESC. SECCIONAL ITATIQUE,-20.261714,-63.150445,90.12
ESC. SECCIONAL ITEMBEGUAZU,-19.36706,-63.36713,52.94
ESC. SECCIONAL LIMONCITO,-15.917671,-63.383224,34.38
ESC. SECCIONAL LITORAL,-16.72976,-63.57311,71.91
ESC. SECCIONAL PALMARITO,-15.68015,-61.58675,24.76
ESC. SECCIONAL PIPI,-20.083076,-63.42315,84.62
ESC. SECCIONAL PUEBLO VIEJO,-18.56561,-63.379357,45.02
ESC. SECCIONAL S. MIGUEL POCITO,-19.68275,-63.45378,33.9
ESC. SECCIONAL SALINAS,-16.981817,-61.857027,58.86
ESC. SECCIONAL SAN F. DE PARAPETI,-19.988769,-63.139552,68.15
ESC. SECCIONAL SAN LORENZO,-19.649003,-63.124447,56.63
ESC. SECCIONAL SANTA RITA,-17.97818,-63.37109,53.63
ESC. SECCIONAL VILLA FLOR,-17.91508,-63.12761,47.06
ESC. SERAFIN RODRIGUEZ,-18.78667,-63.31145,41.04
ESC. SIBERIA,-17.82761,-64.75382,74.36
ESC. SORAIDA,-14.05581,-67.50439,41.67
ESC. SUB. CENTRAL LA PORFIA,-17.056706,-63.151138,61.8
ESC. TACUARAL DE MATTOS,-14.99362,-66.53598,95.92
ESC. TASETE,-20.011447,-63.641435,81.08
ESC. TATARENDA VIEJA,-19.215102,-63.487451,69.97
ESC. TEMPORAL,-18.635985,-64.076375,25
ESC. TERRACOR,-17.655594,-63.186553,38.41
ESC. TIERRA HERMOZA,-15.391605,-61.541007,91.04
ESC. TIMOTEO RONDALES,-18.130626,-63.634351,32.68
ESC. TOMAS JOSE MORALES,-17.89173,-63.33047,39
ESC. TORRECILLAS,-17.86851,-64.61208,82.82
ESC. U. EDUC. ALFREDO IBAÑEZ FRANCO,-17.85056,-63.24312,47.4
ESC. U.E. 16 DE MARZO,-16.934573,-62.469957,90.65
ESC. U.E. 25 DE JULIO,-15.552925,-60.345923,32.79
ESC. U.E. ALTAMIRA,-16.151864,-62.003965,52.02
ESC. U.E. BETANIA,-16.887313,-63.254748,70.3
ESC. U.E. BOLIVAR,-16.39906,-63.136772,69.43
ESC. U.E. CARANDA,-17.52241,-63.53439,56.84
ESC. U.E. CASCABEL,-17.05944,-64.25111,82.32
ESC. U.E. CHANE BEDOYA,-17.02967,-63.07076,63.91
ESC. U.E. CRUZ DEL TOCOIGO,-16.62491,-61.14905,75
ESC. U.E. EDUARDO AVAROA,-18.05703,-64.12405,64.04
ESC. U.E. EL LIMONAL,-16.60476,-62.948716,86.4
ESC. U.E. EL VELADERO,-18.35126,-64.26523,48.88
ESC. U.E. EMILIA RODAT,-16.35967,-58.40152,49.38
ESC. U.E. GERMAN BUSCH (P. GRETHER),-17.184564,-64.35185,64.39
ESC. U.E. GUALBERTO VILLARROEL,-17.220344,-63.132408,69.36
ESC. U.E. GUAYABA,-16.112016,-62.009577,87.1
ESC. U.E. LA ESTRELLA,-15.57549,-61.51268,66.77
ESC. U.E. LA PALIZADA,-18.06145,-64.43266,58.42
ESC. U.E. LAS ABRAS,-16.31566,-62.62867,91.62
ESC. U.E. LAS MERCEDES,-16.637463,-62.155207,51.35
ESC. U.E. LAS TRANCAS,-16.597499,-61.866984,94.39
ESC. U.E. LUCIO  PEREZ,-17.409295,-63.532196,19.54
ESC. U.E. MARILUZ ESTREMADOIRO,-17.234616,-63.29303,49.32
ESC. U.E. MONTERITO,-16.706607,-61.968337,100
ESC. U.E. NUCLEO CENTRAL,-17.368838,-64.037709,76.03
ESC. U.E. NUCLEO CENTRAL EL CONDOR,-17.428641,-64.128434,79.58
ESC. U.E. NUCLEO CENTRAL LOS POZOS,-17.0136,-64.07143,70.09
ESC. U.E. PADRE PIO,-16.682294,-61.839696000000004,93.06
ESC. U.E. PEDRO DOMINGO MURILLO,-17.63503,-63.57303,87.07
ESC. U.E. PETA GRANDE,-16.444382,-63.68477,76.7
ESC. U.E. POPULAR DON BOSCO,-17.09247,-63.766144,33.38
ESC. U.E. PUERTO AVAROA,-17.287083,-64.185825,70.88
ESC. U.E. SAN ISIDRO,-17.44589,-63.53614,11.62
ESC. U.E. SAN JAVIER,-17.364189,-63.567525,20
ESC. U.E. SAN JUAN DEL CARMEN,-17.098428,-63.187292,61.11
ESC. U.E. SAN LUISITO DE LIMA,-16.79143,-61.22618,94.44
ESC. U.E. SAN PABLO,-16.16368,-62.59928,96.15
ESC. U.E. SAN PEDRO DEL CERRITO,-16.61456,-61.1039,63.83
ESC. U.E. SAN SILVESTRE,-15.873383,-61.865097,60.53
ESC. U.E. SANTA CATALINA CHILON,-18.001979,-64.638255,73.53
ESC. U.E. SANTA MONICA,-15.97295,-62.19145,93.33
ESC. U.E. SANTA RITA,-16.102941,-62.408976,64.41
ESC. U.E. SANTIAGO CORNEN,-17.07392,-63.07765,49.41
ESC. U.E. SANTO ESPOSORIO,-17.358148,-63.608748,16.67
ESC. U.E. SEGUNDA MILLA,-16.506144,-62.91419,23.28
ESC. U.E. SIMON BOLIVAR,-15.33675,-60.42154,50.89
ESC. U.E. TURUX NAPEZ,-16.06091,-62.54155,98.8
ESC. U.E. VICTOR HUGO OTALORA,-17.009792,-63.228351,62.84
ESC. U.E. ZAPOCO,-16.49761,-61.64749,35.71
ESC. U.E.TECNICA VOCACIONAL,-16.36109,-58.40529,51.5
ESC. UB. ANGEL SANDOVAL,-20.455024,-63.521764,39.76
ESC. UE ANGELMIRA MONTE. DE DALENCE,-17.45183,-62.96617,35.02
ESC. UE LAS BARRERAS,-17.448452,-63.180011,47.34
ESC. UE MARIANO VACA MONTERO,-17.427607,-63.056924,42.03
ESC. UE SECCIONAL AZUZAQUI,-17.432345,-63.159461,54.01
ESC. UE SECCIONAL LA MARINA,-17.4187,-63.00195,62.5
ESC. UE TUROBITO,-17.364713,-63.145014,34.13
ESC. UE. NUCLEO CENTRAL CLARA CHUCHIO,-17.616399,-63.104742,33.05
ESC. UNID. EDU.  JUAN LATINO,-17.444301,-63.221114,49.19
ESC. UNID. EDU.  LA REFORMA,-17.26757,-63.070011,50.41
ESC. UNID. EDU.  LOS CHACOS,-17.290664,-63.015351,28.9
ESC. UNID. EDU. 21 DE OCTUBRE,-17.409913,-62.991847,83.23
ESC. UNID. EDU. DON BOSCO,-17.40809,-63.203827,38.9
ESC. UNID. EDU. EL TAJIBO,-17.246978,-62.996463,38.35
ESC. UNID. EDU. SAN MIGUEL,-17.439978,-62.904087,40.06
ESC. UNID. EDU. SECCIONAL EL FUTURO,-17.36139,-63.0559,60.29
ESC. UNID.EDU. SECCIONAL PUERTO NUEVO,-17.179086,-62.790182,23.48
ESC. UNIDAD EDUCATIVA 27 DE MAYO,-18.17142,-63.79241,62.86
ESC. UNIDAD EDUCATIVA ARENALES,-18.957729,-63.720461,20.18
ESC. UNIDAD EDUCATIVA IVICUATI,-20.37102,-63.41391,32.62
ESC. UNIDAD EDUCATIVA MOSQUERA,-18.628841,-63.759888,19.05
ESC. UNIDAD EDUCATIVA NUEVA ESPERANZA,-17.248256,-62.786095,43.68
ESC. UNIDAD SECCIONAL HUARACA,-20.141238,-63.679778,25.23
ESC. UNZAGA DE LA VEGA,-17.846423,-60.739314,33.16
ESC. URBANIZ.MANA,-14.77769,-64.9059,39.41
ESC. USURI APONTE,-17.92564,-63.05743,36.84
ESC. VALLE SANCHEZ,-17.656027,-63.165638,26.75
ESC. VILLA ALBA,-15.06132,-64.68153,51.13
ESC. VILLA BARRIENTOS,-18.01478,-63.35257,80.95
ESC. VILLA FATIMA,-16.964896,-60.603542,29.17
ESC. VILLA ROSARIO,-16.93978,-63.426294,83.09
ESC. VILLA VECINAL,-14.81023,-64.87392,29.57
ESC. YATIRENDA,-18.60128,-63.22488,22.22
ESC. ZANJA HONDA,-18.282737,-63.190677,47.96
ESC..ZENOVIA APONTE,-17.87117,-63.10257,52.23
ESC.4 DE  FEBRERO,-14.84447,-64.90131,38.52
ESC.ALBERTO NATUSCH BUSCH,-14.610746,-61.193592,69.44
ESC.ALEJANDRIA,-12.08011,-65.06511,72.73
ESC.ANGEL CHAVEZ ARZA,-12.89689,-64.24437,72.97
ESC.ANTOFAGASTA,-12.80045,-65.00496,72.26
ESC.ANTOFAGASTA,-10.39382,-65.39104,45.1
ESC.BERNARDO CADARIO(COL.KURT RICHTER),-17.757516,-63.194446,23.59
ESC.BRITANICA,-11.01523,-66.05006,33.85
ESC.BUEN JESUS,-14.98918,-64.37089,35.98
ESC.BUENA VISTA,-12.45551,-64.23037,51.56
ESC.CAIMANES,-15.16342,-64.05082,43.51
ESC.CAMIACO,-15.33278,-64.86686,35.15
ESC.CAP.ARTURO CUELLAR REA,-13.045145,-64.667118,47.02
ESC.CARMELO LOPEZ,-13.65491,-63.69662,43.6
ESC.CEC EL TOTAISAL,-14.877911,-66.327083,61.84
ESC.CENTRAL 1O. DE MAYO,-12.65748,-63.37995,91.67
ESC.CENTRAL 2 DE AGOSTO,-15.24271,-63.86697,59.93
ESC.CENTRAL EL PORVENIR,-13.986032,-61.546949,60.34
ESC.CENTRAL NUEVOS HORIZONTES,-14.59985,-67.27888,63.69
ESC.CENTRAL PALMA FLOR,-12.96253,-66.6287,34.43
ESC.CENTRAL PIEDRAS BLANCAS,-14.78934,-67.15208,85.77
ESC.CENTRAL PISO FIRME,-13.630756,-61.737427,63.16
ESC.CENTRAL PUERTO CAVINAS,-12.53129,-66.91502,63.78
ESC.CENTRAL SAN IGNACITO,-15.4581,-65.64748,71.43
ESC.CENTRAL SAN LORENZO,-11.73968,-65.23228,59.52
ESC.CENTRAL SANTA ROSA,-15.22264,-65.85181,88.76
ESC.CHACO LEJOS,-12.83958,-64.9071,67.86
ESC.COOPERATIVA,-12.6354,-65.04883,57.78
ESC.COQUINAL,-12.97027,-65.85875,78.26
ESC.CORINA HURTADO DE,-14.84378,-64.89422,39.3
ESC.DE MANKAILLPA,-18.39356,-64.215993,18.52
ESC.DE PUERTO YUCUMO,-15.19761,-66.93755,94.01
ESC.EL CAIRO,-13.72575,-63.72225,53.85
ESC.EL CANDADO,-13.50823,-66.84259,67.53
ESC.EL CARMEN,-14.23021,-63.80146,39.43
ESC.EL CARMEN DE RUIZ,-16.047551,-61.098951,23.45
ESC.EL CHACAL,-14.75295,-66.62759,98.97
ESC.EL MOTACUSAL,-12.91581,-65.4307,51.43
ESC.EL PALMAR,-14.97903,-67.08794,76.89
ESC.EL POYORI,-13.00931,-64.42094,83.78
ESC.EL REMANZO,-13.52387,-61.8741,55.32
ESC.EL TRIUNFO,-13.86169,-66.76116,46.85
ESC.EL TROMPILLO,-13.11602,-65.11865,40
ESC.FATIMA,-14.91402,-65.34778,43.59
ESC.FELIX SATTORY ROMAN,-11.00182,-66.06739,23.63
ESC.GALILEA,-16.953517,-63.67821,82.16
ESC.GERARDO REYES,-14.07916,-66.79248,30.72
ESC.GERMAN BUSCH,-14.85664,-66.74983,31.01
ESC.GIL COIMBRA,-13.25954,-64.05195,43.38
ESC.GUALBERTO VILLARRUEL,-14.44452,-67.5281,38.85
ESC.GUNDONOVIA,-15.51444,-65.11512,39.23
ESC.HUGO BANZER SUAREZ,-17.88131,-63.1536,50.5
ESC.HUMBERTO VELARDE,-15.02232,-64.66631,49.54
ESC.J. CHAVEZ SUAREZ,-14.8414,-64.90463,38.27
ESC.J. LORENZO CAMPERO,-14.8257,-64.89998,29.5
ESC.J.AZURDUY DE PADILLA,-14.82634,-64.8893,28.06
ESC.JESUS ALVAREZ,-14.29483,-67.3343,41.27
ESC.JOSE BALLIVIAN,-13.26313,-64.05527,43.85
ESC.JOSE MAX PAREDES,-13.32101,-65.25107,63.39
ESC.JUAN ALBERTO ORELLANA,-13.59328,-63.87964,41.51
ESC.JUDDI DE SUAREZ,-10.53687,-65.58167,28.11
